gid,kdppum,namobj,remark,kdpbps,fcode,luaswh,uupp,srs_id,lcode,metadata,kdebps,kdepum,kdcbps,kdcpum,kdbbps,kdbpum,wadmkd,wiadkd,wadmkc,wiadkc,wadmkk,wiadkk,wadmpr,wiadpr,tipadm,shape_leng,shape_area,xcoord,ycoord
"31",,Banjarsari,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciawi,,Bogor,,Jawa Barat,,"0",0.0671123773696,0.000134016742911,106.893560723681,-6.70909079279528
"157",,Cibodas,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Rumpin,,Bogor,,Jawa Barat,,"0",0.15839316072,0.000850304649242,106.631128517247,-6.4595293269097
"233",,Cileuksa,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Sukajaya,,Bogor,,Jawa Barat,,"0",0.262941303616,0.00233224928014,106.470509650693,-6.63137612671225
"232",,Cilengsi,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cileungsi,,Bogor,,Jawa Barat,,"0",0.113721231796,0.000261359495223,106.996149737663,-6.40976812599727
"36",,Bantarjati,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Klapanunggal,,Bogor,,Jawa Barat,,"0",0.0834560708067,0.000233845397952,106.955124001606,-6.48316755140072
"4",,Antajaya,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tanjungsari,,Bogor,,Jawa Barat,,"0",0.18299788078,0.00116307684642,107.139402515942,-6.61170588089213
"259",,Ciomas,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciomas,,Bogor,,Jawa Barat,,"0",0.0509950065976,0.000100648546819,106.76148727077,-6.60933584399505
"129",,Cibadak,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Sukamakmur,,Bogor,,Jawa Barat,,"0",0.156485428892,0.000971168735023,107.01991757245,-6.59335750722342
"313",,Citeureup,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Citeureup,,Bogor,,Jawa Barat,,"0",0.0805071444481,0.000301268515267,106.892698513052,-6.52510496406705
"18",,Babakanraden,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cariu,,Bogor,,Jawa Barat,,"0",0.13295682453,0.000554448000286,107.137144526768,-6.52741846394688
"19",,Babakansadeng,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Leuwisadeng,,Bogor,,Jawa Barat,,"0",0.0641988329049,0.00019918873077,106.587577128926,-6.57423320587198
"37",,Bantarjaya,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Rancabungur,,Bogor,,Jawa Barat,,"0",0.0704902679949,0.000208412089028,106.712540502653,-6.52149202157874
"45",,Barengkok,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Leuwiliang,,Bogor,,Jawa Barat,,"0",0.101263544623,0.000330689092542,106.609902038636,-6.6401369325217
"24",,Balekambang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Jonggol,,Bogor,,Jawa Barat,,"0",0.178541595551,0.000728882786059,107.04629514365,-6.49566018240588
"112",,Ciadeg,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cigombong,,Bogor,,Jawa Barat,,"0",0.104180502494,0.000229337351554,106.810149129059,-6.74544039016339
"150",,Cibinong,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cibinong,,Bogor,,Jawa Barat,,"0",0.104447514694,0.000306706188166,106.835511387254,-6.48437836733142
"166",,Cibuntu Tengah,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tenjolaya,,Bogor,,Jawa Barat,,"0",0.0847965415922,0.000265134523816,106.707984860627,-6.65359482346292
"272",,Cipayung,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Megamendung,,Bogor,,Jawa Barat,,"0",0.114287419475,0.000429746588414,106.918096310667,-6.66378255147081
"14",,Babakanmadang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Babakanmadang,,Bogor,,Jawa Barat,,"0",0.103132831255,0.000257893955523,106.901704049011,-6.59117203505968
"38",,Bantarkarek,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Nangguang,,Bogor,,Jawa Barat,,"0",0.383478944029,0.00305183631863,106.537687406321,-6.67260464551651
"96",,Cadasngampar,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Sukaraja,,Bogor,,Jawa Barat,,"0",0.0811891476929,0.000211898881817,106.840680305626,-6.57980155766426
"124",,Ciasihan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Pamijahan,,Bogor,,Jawa Barat,,"0",0.250990832976,0.000914936667543,106.659624880302,-6.693284908106
"12",,Babakan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tenjo,,Bogor,,Jawa Barat,,"0",0.182739003697,0.0013425884388,106.479489370438,-6.37286405652126
"162",,Cibunar,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Parungpanjang,,Bogor,,Jawa Barat,,"0",0.110707382294,0.000346909064753,106.554987458122,-6.3767011752795
"21",,Bagoang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Jasinga,,Bogor,,Jawa Barat,,"0",0.121082984258,0.000336044227866,106.45661598101,-6.48193504748969
"6",,Atangsenjaya,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Kemang,,Bogor,,Jawa Barat,,"0",0.0500114221923,0.000142239521197,106.734694705089,-6.50294314889976
"311",,Citayam,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tajurhalang,,Bogor,,Jawa Barat,,"0",0.0940205875913,0.000301432844177,106.758875329444,-6.46854382410055
"101",,Caringin,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Caringin,,Bogor,,Jawa Barat,,"0",0.0647022858004,0.000167328220763,106.865816385405,-6.73644760730718
"8",,Babakan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciseeng,,Bogor,,Jawa Barat,,"0",0.130520064167,0.000377298551488,106.678608723819,-6.45540009566229
"5",,Argapura,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cigudeg,,Bogor,,Jawa Barat,,"0",0.185727163521,0.00168982342118,106.546888698131,-6.49323498786752
"49",,Batulayang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cisarua,,Bogor,,Jawa Barat,,"0",0.0465484617402,8.28320323582e-05,106.955283830524,-6.69910121515143
"61",,Benteng,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Ciampea,,Bogor,,Jawa Barat,,"0",0.0903642629106,0.000243429468903,106.69845241306,-6.57395298821429
"110",,Cemplang,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cibungbulang,,Bogor,,Jawa Barat,,"0",0.0786927811374,0.000192677797247,106.661417054061,-6.57616403218792
"70",,Bojongbaru,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Bojonggede,,Bogor,,Jawa Barat,,"0",0.0772843398943,0.000236260741885,106.79296334197,-6.47635782992246
"84",,Bojongnangka,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Gunungputri,,Bogor,,Jawa Barat,,"0",0.180252463546,0.000686382828916,106.931351837159,-6.40501583072955
"74",,Bojonggidah,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Parung,,Bogor,,Jawa Barat,,"0",0.0570358620825,0.000108587966718,106.712677639116,-6.4351329908106
"670",,Pasireurih,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Tamansari,,Bogor,,Jawa Barat,,"0",0.0744047538215,0.000203598346621,106.745606685711,-6.65669468005277
"9",,Babakan,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Dramaga,,Bogor,,Jawa Barat,,"0",0.0904270794565,0.000272373018597,106.729687597886,-6.5883839789849
"133",,Cibadung,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Gunungsindur,,Bogor,,Jawa Barat,,"0",0.111406356658,0.000345078440313,106.68700973881,-6.38730439631991
"134",,Cibalung,Wilayah Administrasi Keluruhan/Desa,,,0,,,BA0020,,,,,,,,,,Cijeruk,,Bogor,,Jawa Barat,,"0",0.0934110561625,0.000344367732804,106.784117471001,-6.68656180220314
